Dados,DFS Tempo(microssegundos),BFS Tempo(microssegundos),Guloso Tempo(microssegundos),AEstrela Tempo(microssegundos),DFS Memoria(KB),BFS Memoria(KB),Guloso Memoria(KB), AEstrela Memoria(KB)
Teste 1,99,5184,227,549,1028,1096,1096,1096
Teste 2,8,107,40,144,1096,1096,1096,1096
Teste 3,41,638,155,395,1164,1164,1164,1164
Teste 4,341,10528,237,588,1164,1124,1124,1124
Teste 5,24,282,120,312,1168,1168,1168,1168
Teste 6,382,14165,223,521,1168,1204,1204,1216
Teste 7,246,7741,219,540,1216,1124,1124,1124
Teste 8,16,1897,185,466,1124,1168,1168,1168
Teste 9,7,87,46,161,1168,1168,1168,1168
Teste 10,12,135,87,254,1168,1168,1168,1168
Teste 11,21,1922,210,500,1168,1124,1124,1124
Teste 12,65,840,143,363,1132,1148,1148,1148
Teste 13,20,308,157,387,1148,1148,1148,1148
Teste 14,50,1483,194,453,1148,1168,1168,1168
Teste 15,13,228,88,253,1168,1168,1168,1168
Teste 16,65,4371,228,560,1168,1128,1128,1132
Teste 17,8,98,38,147,1132,1132,1132,1132
Teste 18,8,95,51,175,1132,1132,1132,1132
Teste 19,15,248,146,411,1132,1132,1132,1132
Teste 20,7,92,39,144,1132,1132,1132,1132
Teste 21,12,194,88,262,1132,1132,1132,1132
Teste 22,16,775,167,417,1132,1132,1132,1132
Teste 23,59,605,143,362,1132,1132,1132,1132
Teste 24,15,109,65,205,1132,1132,1132,1132
Teste 25,14,497,106,443,1132,1132,1132,1132
Teste 26,29,340,169,458,1132,1132,1132,1132
Teste 27,21,376,202,528,1132,1156,1156,1156
Teste 28,11,128,44,218,1124,1124,1124,1124
Teste 29,15,153,62,224,1124,1136,1136,1136
Teste 30,14,178,101,282,1136,1136,1136,1136
Teste 31,9,153,78,262,1136,1136,1136,1136
Teste 32,161,2073,197,470,1136,1168,1168,1168
Teste 33,12,244,108,296,1168,1168,1168,1168
Teste 34,13,223,108,297,1124,1136,1136,1136
Teste 35,8,101,50,173,1136,1136,1136,1136
Teste 36,9,114,66,207,1136,1136,1136,1136
Teste 37,639,9764,306,517,1136,1172,1172,1184
Teste 38,7,83,42,151,1184,1184,1184,1184
Teste 39,12,220,109,295,1184,1184,1184,1184
Teste 40,8,103,48,186,1184,1184,1184,1184
Teste 41,8,112,55,190,1184,1184,1184,1184
Teste 42,19,335,152,387,1184,1184,1184,1184
Teste 43,20,286,181,427,1184,1184,1184,1184
Teste 44,14,328,127,340,1184,1184,1184,1184
Teste 45,7,86,40,142,1184,1184,1184,1184
Teste 46,50,9218,233,592,1184,1288,1288,1288
Teste 47,15,236,141,364,1168,1168,1168,1168
Teste 48,9,141,72,219,1168,1176,1176,1176
Teste 49,68,1572,218,500,1176,1180,1180,1180
Teste 50,14,174,102,294,1180,1180,1180,1180
Teste 51,9,111,62,194,1180,1180,1180,1180
Teste 52,77,1474,138,346,1180,1160,1160,1160
Teste 53,12,137,65,208,1160,1168,1168,1168
Teste 54,21,7048,229,663,1192,1208,1208,1212
Teste 55,21,238,89,255,1232,1232,1232,1232
Teste 56,31,495,117,339,1232,1232,1232,1232
Teste 57,15,166,87,257,1232,1232,1232,1232
Teste 58,7,77,38,141,1232,1232,1232,1232
Teste 59,13,191,84,240,1232,1232,1232,1232
Teste 60,8,106,54,181,1232,1232,1232,1232
Teste 61,8,99,55,182,1232,1232,1232,1232
Teste 62,11,148,99,276,1232,1232,1232,1232
Teste 63,17,329,134,341,1232,1232,1232,1232
Teste 64,9,208,75,248,1232,1232,1232,1232
Teste 65,30,1587,210,509,1232,1244,1244,1244
Teste 66,246,3625,188,475,1244,1212,1212,1212
Teste 67,29,466,165,409,1212,1212,1212,1212
Teste 68,8,86,47,162,1212,1212,1212,1212
Teste 69,77,2280,234,654,1212,1216,1216,1216
Teste 70,22,409,206,479,1216,1192,1192,1192
Teste 71,11,136,94,271,1200,1212,1212,1212
Teste 72,10,109,101,216,1212,1212,1212,1212
Teste 73,10,110,36,133,1212,1212,1212,1212
Teste 74,18,1293,203,518,1212,1224,1224,1224
Teste 75,9,108,72,217,1224,1224,1224,1224
Teste 76,7,91,38,145,1224,1224,1224,1224
Teste 77,10,133,76,233,1224,1224,1224,1224
Teste 78,10,143,65,309,1224,1224,1224,1224
Teste 79,18,220,99,280,1224,1224,1224,1224
Teste 80,58,938,192,464,1224,1184,1184,1184
Teste 81,31,408,199,472,1184,1208,1208,1208
Teste 82,11,168,97,275,1208,1208,1208,1208
Teste 83,12,138,99,280,1208,1208,1208,1208
Teste 84,18,182,79,243,1208,1208,1208,1208
Teste 85,29,457,162,411,1208,1208,1208,1208
Teste 86,30,385,128,328,1208,1208,1208,1208
Teste 87,8,107,43,156,1208,1208,1208,1208
Teste 88,21,1482,193,482,1208,1184,1184,1184
Teste 89,8,98,48,174,1184,1184,1184,1184
Teste 90,16,214,103,291,1196,1196,1196,1196
Teste 91,9,125,60,193,1196,1196,1196,1196
Teste 92,10,113,65,205,1196,1196,1196,1196
Teste 93,15,197,109,306,1196,1196,1196,1196
Teste 94,25,1743,181,450,1196,1196,1196,1196
Teste 95,22,258,93,266,1212,1212,1212,1212
Teste 96,86,8213,224,550,1212,1192,1192,1192
Teste 97,14,220,109,299,1192,1192,1192,1192
Teste 98,15,281,179,396,1192,1192,1192,1192
Teste 99,46,850,192,462,1192,1204,1204,1204
Teste 100,8,87,43,157,1204,1204,1204,1204
Tempo Medio,40.22,1176.57,121.71,327.72
Tempo Desvio Padrao,85.6641,2509.93,64.6503,136.398
Memoria Media,,,,,1181,1182.4,1182.4,1182.72
Memoria Desvio Padrao,,,,,38.8613,37.5702,37.5702,37.6165
